原始词	标准词
胃肠道痉挛	胃肠功能紊乱
39℃	高热
发高烧	高热
拉十几次	腹泻
奶片	稀便
腥臭味	大便酸臭
蛋花汤样	蛋花汤样便
酸味	大便酸臭
蛋花样	蛋花汤样便
腹泻病	腹泻
不肯吃米粉	食欲不振
尿量少	尿量减少
闹人	哭闹
大便都是鸡蛋汤样	蛋花汤样便
泻	腹泻
没精神	精神软
一小时内吐三次	呕吐
不哭不闹	哭闹
迷迷糊糊的睁不开眼	精神软
嘴唇发白	口唇发白
精神差	精神软
拉的就有点稀	稀便
大便比较稀	稀便
大便可能次数会增加	腹泻
精神状态差	精神软
超过8小时没尿	尿量减少
糊状	糊状便
拉稀	稀便
感染性腹泻	腹泻
呛到	呛
喉咙有响声	痰鸣音
痰音	痰鸣音
抵抗力弱	免疫力低下
嗓子有点发红	咽喉炎
病毒性	病毒感染
嗓子有点红	咽喉炎
精神食欲不好	精神软
咽喉有点红	咽喉炎
3天不大便	便秘
3天突然没大便	便秘
大便不正常	便秘
胃肠功能不太好	胃肠功能紊乱
排便困难	便秘
不好大便	便秘
精神状态不好	精神软
肝肾损害	肝功能异常
肠道梗阻	肠梗阻
稀便，有奶瓣	稀便
黑绿色。一般大便	绿便
大便变黑	黑便
胃肠道没有发育完全	胃肠功能紊乱
精神状态一般	精神软
血液病	血液疾病
流鼻子	鼻流涕
昨天晚上小宝宝一惊一乍的	睡眠障碍
睡觉不踏实，易惊醒	睡眠障碍
多汗	出汗
枕凸	枕秃
大便有没有未消化的颗粒	消化不良
大便有未消化的颗粒	消化不良
大便有点像蛋花	蛋花汤样便
胃很不舒服	腹部不适
病毒或者细菌感染	病毒感染
超过38.5度	中等度热
超过38°5	中等度热
吃奶减少	食欲不振
尿比以前多	尿量增多
尿量就会增多	尿量增多
泌尿系感染	尿路感染
尿频	尿频尿急
泌尿道感染	尿路感染
发红	红肿
支原体	支原体感染
咳速	咳嗽
发烧到晚上十点多39.4	高热
呼吸快	呼吸急促
急性细菌性呼吸道感染	呼吸道感染
呼吸有点重	粗呼吸音
呼吸会增重	粗呼吸音
拉的粑粑黏黏的	大便粘液
肠粘液	大便粘液
血丝	消化道出血
大便土黄色，浠水	水样便
打屁会出现便便	屁
拉奶瓣	稀便
两天都没有拉便便	便秘
不拉便便	便秘
红疹	皮疹
脱屑	皮屑
睡眠没有易惊醒	睡眠障碍
掉胎发	脱发
头发脱落	脱发
稀粑粑	稀便
攒肚	功能性便秘
打个屁都是粑粑	腹泻
屁屁红	肛门红肿
胆子疼	疼痛
大便不顺	便秘
吃得很少	食欲不振
发过烧	发热
发烧了38度	低热
肚脐周围疼	腹痛
肚脐旁边疼	腹痛
38.5°以上	中等度热
流清涕	鼻流涕
病原体感染	支原体感染
粗音	粗呼吸音
支气管炎症	支气管炎
手凉	四肢厥冷
鼻子里还有血	鼻流血
小血管出血	出血点
细菌性的感染	细菌感染
血液系统疾病	血液疾病
40度	高热
尿少	尿量减少
37.8	低热
疹子	皮疹
体温达38.5度以上	中等度热
疹	皮疹
体温38.5度以上	中等度热
38.5度以下	低热
体温一到38.5	中等度热
肠道还是不太好	胃肠功能紊乱
38度5	中等度热
小儿消化不良	消化不良
消化能力弱	消化不良
小便量少	尿量减少
大便有泡沫	泡沫便
大便是粥样	粥样便
38度多	中等度热
37度多	低热
37.6	低热
谈	痰
病毒或细菌感染	病毒感染
不消化	消化不良
喷射性的呕吐	喷射性呕吐
喉咙发炎	咽喉炎
红肿	咽喉炎
咽喉部红肿	咽喉炎
体温超过38.5度	中等度热
38.5度以内	中等度热
汗	出汗
肠胃病	胃肠功能紊乱
出太多汗	出汗
连续性咳嗽	咳嗽
37.5	低热
肺部和气管炎症	支气管肺炎
气管、支气管黏膜及其周围组织的非特异性炎症	炎症
呼吸道内的分泌物	痰
肺部有感染	肺部感染
拉的屎像蛋花一样	蛋花汤样便
消化功能不好	消化不良
想吐	恶心
肚子前两天右侧痛	腹痛
头有时候也一阵阵痛	头痛
精神状态不是特别的好	精神软
胃肠功能发生了紊乱	胃肠功能紊乱
胀胀	腹胀
肠功能紊乱	胃肠功能紊乱
打屁	屁
喉咙是肿了	咽喉炎
口气重	口臭
尿量多	尿量增多
一直在拉	腹泻
全是水	水样便
一天都没有尿	尿量减少
一直没有尿	尿量减少
电解质是紊乱	电解质紊乱
嗓子里有呼噜声	痰鸣音
凝血功能发生异常	凝血功能障碍
肠粘膜的损伤	肠粘膜受损
次数也在5到6次	腹泻
大便次数有点多	腹泻
大便次数增多	腹泻
大便次数的增多	腹泻
大便带血	血便
黏膜	大便粘液
肠黏膜损伤	肠粘膜受损
炎症肠炎	肠炎
大便，仍然有血迹	血便
大便当中的粘液	大便粘液
大便带血丝	血便
体温现在39	高热
39.5	高热
高烧	高热
喉咙好像有点炎症	咽喉炎
嗓子发炎	咽喉炎
急性上呼吸道感染	上呼吸道感染
水	水样便
呼噜呼噜	痰鸣音
不吃奶	食欲不振
肚子呼噜	肠鸣音
睡眠不沉	睡眠障碍
大便颜色发绿	绿便
恶习	恶心
便便不成形	稀便
奶水不足	乳汁异常
浓稠鼻涕	鼻流涕
粘稠鼻涕	鼻流涕
抵抗力差	免疫力低下
出虚汗	出汗
眼屎多	眼睛分泌物异常
肛门红	肛门红肿
上热	发热
肛门那里红	肛门红肿
抽风	抽搐
四肢直直抽	抽搐
脸色发青	面色苍白
体温37.3	低热
体温到40.2度	高热
热性惊厥	热惊厥
一直在睡觉	嗜睡
晚饭也没吃	食欲不振
拉了好几次肚子	腹泻
胃肠不适	腹部不适
精神就是会差一些	精神软
爱睡觉	嗜睡
吃饭差	食欲不振
尿量又少	尿量减少
吃饭是不太好	食欲不振
病毒性的	病毒感染
扁桃体有脓	扁桃体炎
扁桃体红肿	扁桃体炎
生痰	痰
绿色大便	绿便
绿色	绿便
拉的有丝状的挺稠	水样便
拉的水	水样便
一天是六次左右的大便	腹泻
大便全是水	水样便
消化功能差	消化不良
不咳	咳嗽
咳出痰	咳痰
黄痰	痰
白痰	痰
喉咙出现炎症	咽喉炎
一天好几次	腹泻
味酸	大便酸臭
咽红	咽喉炎
咽部有充血	充血
超过37.8度	低热
体温仍然超过38.5度	中等度热
37.7或37.8度	低热
金黄色葡萄球菌感染引起的肺炎	肺炎
体质弱	免疫力低下
体质比较弱	免疫力低下
咳黄痰	咳痰
免疫功能低下	免疫力低下
体液免疫功能低下	免疫力低下
支氣管炎	支气管炎
發燒	发热
合并细菌感染	细菌感染
支原體感染	支原体感染
留鼻涕	鼻流涕
黄色的鼻涕	鼻流涕
胃肠功能会影响	胃肠功能紊乱
大便次数增多，稀，有颗粒的东西	腹泻
双眼窝凹陷	眼窝凹陷
低烧	低热
拉	腹泻
稀	稀便
流感	感冒
拉的没有之前那么希	稀便
夜咳	咳嗽
阵发性咳嗽	咳嗽
气道有炎症	气管炎
抵抗力比较低	免疫力低下
一天拉三四次	腹泻
大便都是稀的	稀便
丝丝的声音	喘息
38.6	中等度热
脚现在有点凉	四肢厥冷
脚有点凉	四肢厥冷
头很热	发热
手心有汗	出汗
鼻涕清水鼻涕	鼻流涕
精神比之前差多了	精神软
39.2	高热
口吐泡泡	口吐白沫
嗓子吼了	喘鸣
嗓子吼	喘鸣
喉鸣	喘鸣
小手小脚凉	四肢厥冷
超过38.5	中等度热
38以下	低热
手脚凉	四肢厥冷
手脚冰凉	四肢厥冷
体温过高	高热
嗓子可能有充血	充血
体温可能会越来越高	发热
体温症状不缓解或者加重	发热
绿水	绿便
下午是水	水样便
鸡蛋汤那样的很小	蛋花汤样便
不吃	食欲不振
不玩	精神软
不吃不玩	食欲不振
拉的稀	稀便
失水多	脱水
细菌性	细菌感染
细菌性感染	细菌感染
嗓子轻微充血	充血
吃饭不是很好	食欲不振
支气管有点发炎	支气管炎
肺部炎症	炎症
抵抗力比较差	免疫力低下
气管炎症	支气管炎
气促	呼吸困难
呼吸增快	呼吸急促
肺部罗音	啰音
稀或水多	稀便
浠水便	水样便
大便有奶瓣	稀便
便便会很绿	绿便
奶片很多	稀便
消化不太好	消化不良
白色奶片拉下来	稀便
肠道不好	胃肠功能紊乱
眼睛下面红	眼睛发红
37度2	低热
嗓子有点哑	嗓子沙哑
睡觉不太踏实	睡眠障碍
吃奶比平常少了点	食欲不振
清水	鼻流涕
化脓性感染	感染
瘦了一斤	体重减轻
每次都是特别希	稀便
拉出来的是水	水样便
皮肤粘膜干燥	皮肤干燥
大便发绿	绿便
吃不进东西	食欲不振
大便臭	大便酸臭
肚子有没有咕噜咕噜响	肠鸣音
舌苔厚	舌苔厚黄
大便非常臭	大便酸臭
臭屁	屁
肠胃功能不好	胃肠功能紊乱
食物中毒	中毒
嗓子一直没好	咽喉不适
退烧	退热
38.5℃以下	低热
不怎么睡	睡眠障碍
大便也多，便中带点水	水样便
大便有点臭	大便酸臭
病毒感	病毒感染
睡不着	睡眠障碍
体质不好	免疫力低下
抵抗力确实差	免疫力低下
头疼	头痛
肺热咳嗽	咳嗽
气管有点毛病	气管炎
38.4	低热
细菌性肺炎	肺炎
咽红肿痛	咽喉炎
嗓子不哄	咽喉炎
吃不了多少	食欲不振
平时饭量小	食欲不振
不能吃饭	食欲不振
大便可能会比较稀	稀便
蛋花状	蛋花汤样便
果冻状	糊状便
肠出血	消化道出血
肠穿孔	肠粘膜受损
大哭	哭闹
四五次	腹泻
脑门炎	脑膜炎
没有精神	精神软
缺水	脱水
睡得多一点	嗜睡
皮肤起皱	皮肤干燥
小便量明显减少	尿量减少
皮肤很干燥	皮肤干燥
前胸有一点凹陷	脱水
皮肤也有点干	皮肤干燥
病毒感冒	病毒感染
38.5多	中等度热
先天性心脏病	心脏病
不超过38.5度	低热
拉肚	腹泻
胃出血	消化道出血
烧退	退热
手脚一直很凉	四肢厥冷
便便发绿很臭	绿便
眼眶发红	眼睛发红
惊厥史	热惊厥
38.2	中等度热
体温38.5	发热
超过37.5	发热
急诊	幼儿急疹
鼻子有点塞	鼻塞
胃肠道反应	胃肠道炎症
昨天到现在还没大便	便秘
呼噜声	痰鸣音
有黏液	大便粘液
水状的	水样便
大便吃醋有可能会持续增多	腹泻
大便输入增多	腹泻
肠功能不好	胃肠功能紊乱
法洛氏四联症	心脏病
肠粘膜损伤	肠粘膜受损
肠道出血	消化道出血
肠粘膜出血	肠粘膜受损
出血	出血点
烧退不下来	发热
身上很烫	发热
手脚发凉	四肢厥冷
39度40度的体温	高热
舌苔比较厚	舌苔厚黄
发烧39..40度	发热
后面几次还是在拉	腹泻
肚子现在很胀	腹胀
皮肤过敏	过敏
蛋白质过敏	过敏
粘液脓血便	大便粘液
母乳过敏	过敏
稀水便	水样便
脓液血便	脓血便
稀糊便	稀便
水便	水样便
肠道感染	感染
拉三天了	腹泻
拉粑粑总感觉有空气排出	屁
拉粑粑还有时候有油渍水便	水样便
大便次数有增多	腹泻
拉粑粑不正常有水便	水样便
大便性状也有改变	便秘
大便一天四五次	腹泻
大便次数和之前比，是有增多	腹泻
之前大便一天两次，现在一天四五次	腹泻
吃饭有点少	食欲不振
嗓子里面有丝丝的声音	气喘
支气管发炎	支气管炎
罗音	啰音
肺炎支原体抗体的感染	支原体肺炎
大便有粘液	大便粘液
拉了六七次	腹泻
拉了四五次	腹泻
晚上折腾不睡觉	睡眠障碍
湿性啰音	啰音
肺部有炎症	肺炎
流鼻血	鼻流血
鼻血	鼻流血
超过38.5℃	中等度热
闪腰	腰痛
水样	水样便
绿屎	绿便
沫沫	泡沫便
泡沫	泡沫便
每天的大便次数是很多的	腹泻
稀水样大便	水样便
拉的跟水似的	水样便
大便有潜血	血便
胃肠黏膜有损伤	肠粘膜受损
大便潜血	便隐血
拉了两次稀	稀便
吃有点少	食欲不振
奶瓣子	稀便
黏糊糊的黄色	大便粘液
病毒性感染	病毒感染
耳温有37.7	低热
支气管炎或者肺炎	支气管炎
高烧38.6	中等度热
低烧37.5	低热
37.4	低热
37.3	发热
体温37.4	低热
超过37.5度	发热
体温有点高	发热
咽喉部，还有发红	咽喉炎
红肿发炎	咽喉炎
37.7	低热
拉了两次肚子，拉稀	稀便
无精打采	精神软
呼吸也急促	呼吸急促
迷迷糊糊的睡觉	嗜睡
想睡觉	嗜睡
想睡觉又睡不着	睡眠障碍
吃饭不吃	食欲不振
小便量和正常情况下比少	尿量减少
呕	呕吐
粑粑多次有拉	腹泻
拉的是绿色	绿便
小儿感冒	感冒
没过十分钟就又说尿尿	尿频尿急
尿路炎症	尿路感染
尿急	尿频尿急
体温37.5	低热
咽喉部发炎	咽喉炎
呼吸道病毒性感染	呼吸道感染
发烧超过38.5	中等度热
精神萎靡	精神软
拒食	食欲不振
便便很希	稀便
一天拉四次	腹泻
大便都是希	稀便
便便也是希	稀便
黄色稀便带奶瓣儿	稀便
大便变稀	稀便
大便次数超过四次	腹泻
尿多	尿量增多
排尿少	尿量减少
大便很希	稀便
大便出现在三次以上	腹泻
大便没有以前量多	便秘
大便干	大便干燥
撑	积食
喉咙红	红肿
喉咙看看红	咽喉炎
稀水	水样便
蛋花汤	蛋花汤样便
稀水样	水样便
拉得多的时候有沫沫	泡沫便
每天也是拉三四次	腹泻
性状变稀	大便性状异常
发烧38度以下	低热
38.5℃以上	中等度热
38.5℃	中等度热
屁股腿上和手脚有红色的包	疱疹
嗓子有疱疹	疱疹
手足口	手足口病
呛着	呛奶
急性扁桃体炎	扁桃体炎
喉咙有点哑	嗓子沙哑
喉气管支气管炎	喉支气管炎
喉喘鸣	气喘
船名	喘鸣
猴头水肿	喉水肿
精神状态比较差	精神软
细菌性炎症	细菌感染
拉水	水样便
吃多少拉多少	腹泻
轮状病毒	轮状病毒感染
气管和肺部炎症	炎症
眼屎	眼睛分泌物异常
抵抗力太差	免疫力低下
支原体的感染	支原体感染
气道过敏	过敏
今天没劲	精神软
不睡	睡眠障碍
肚子不舒服	腹部不适
睡觉多	嗜睡
嗓子呼噜呼噜	痰鸣音
肺部	肺炎
气管	气管炎
呼呼的声音	粗糙呼吸音
尿量不多	尿量减少
大便次数比较多	腹泻
支气管有点炎症	支气管炎
发粘	大便粘液
肚子里老是咕噜咕噜的	肠鸣音
肚子咕噜	肠鸣音
最少五次，最多六七次	腹泻
一天五六次	腹泻
拉上六七遍，五六遍	腹泻
拉多	腹泻
拉的蛋花状	蛋花汤样便
睡觉老哼哼哼睡不踏实	睡眠障碍
蛋花汤样稀水便	蛋花汤样便
睡觉总醒	睡眠障碍
心脏有问题	心脏病
心脏先天发育不全	心脏病
一哭	哭闹
憋得慌	喘憋
打喷喷	喷嚏
慢性炎症	炎症
现在不怎么好	精神软
消化系统疾病	消化不良
发烧38°以上	低热
绿粑	绿便
粑，带泡泡	泡沫便
湿罗音	啰音
消化功能要差	消化不良
出气就有点声音	粗呼吸音
口吐泡沫	口吐白沫
呼噜声音	痰鸣音
先天性喉骨软化	喉骨软化
重感	感冒
分泌物	气管支气管异物
呼噜呼噜的声音	痰鸣音
没那么精神	精神软
不想吃	食欲不振
胃肠功能会有影响	胃肠功能紊乱
拉4次了	腹泻
两个小时没有尿	尿量减少
眼窝按照	眼窝凹陷
一天拉3.4次	腹泻
拉的稍微稀	稀便
烧38.8度	中等度热
发票	发热
头上很热	发热
鼻腔有呼噜声	痰鸣音
呛过	呛奶
呼吸系统感染	呼吸道感染
上呼吸道	上呼吸道感染
气管有湿性啰音	啰音
绿粑粑	绿便
拉的时候还费劲	便秘
肠道菌群没有建立好	胃肠功能紊乱
腹泻2天	腹泻
绿	绿便
有点渣渣	稀便
渣渣	稀便
腹部受凉	肠胃型感冒
大便拉丝	大便粘液
蛋白过敏	过敏
咕噜响声	肠鸣音
咕噜声	肠鸣音
拉硬便	大便干燥
红屁屁	肛门红肿
气管发炎	气管炎
肠胃炎	胃肠道炎症
大便也是一天五六次	腹泻
拉出来是没消化的	消化不良
肚子好紧好硬	腹部不适
大便出血	血便
上感	上呼吸道感染
胃肠道功能比较差	胃肠功能紊乱
脾胃比较虚弱	脾胃功能不调
烧到37.9度	低热
不超过38度	低热
38度左右	发热
吃的没以前多	食欲不振
一天没有拉粑粑	便秘
放臭屁	屁
没有粑粑	便秘
拉粑粑不出来	便秘
超过五天不排便	便秘
嗓子里呼噜噜	痰鸣音
低烧38度	中等度热
抢到	呛
奶的质量差	乳汁异常
便便还比较稀	稀便
拉的多	腹泻
脱的比较厉害	脱水
很久才大便一次	便秘
睡眠不好	睡眠障碍
很长时间一次大便	便秘
七天拉的一次	便秘
八天拉一次	便秘
九天拉一次	便秘
吃奶比较少	食欲不振
胃肠道功能不好	胃肠功能紊乱
吃奶明显减少	食欲不振
大便稀稠有粘液	稀便
大便稀，有粘液	稀便
大便呈绿色	绿便
消化系统症状	消化不良
胃动力障碍	胃肠功能紊乱
大便中有粘液	大便粘液
肚子持续疼	腹痛
粘液血丝	大便粘液
大便次数增多，有泡沫儿	泡沫便
消化道的疾病	消化不良
大便还是比较稀	稀便
什么都不吃	食欲不振
38.9	中等度热
大便看奶瓣	稀便
黄绿	绿便
肠道的紊乱	胃肠功能紊乱
拉的很多次	腹泻
拉了四次	腹泻
拉的次数比较多	腹泻
大便都是深绿色	绿便
大便颜色绿	绿便
烂烂的	糊状便
黑黑	黑便
粘粘的	大便粘液
臭	脓肿
一天拉四五次	腹泻
咕噜响	肠鸣音
流囗水	流涎
流	鼻流涕
消化功能不太好	消化不良
腹部不舒服	腹部不适
排便无法控制	腹泻
肠胃虚弱	消化不良
精神有点呆	精神软
尿量很少	尿量减少
病毒疹肠炎	病毒性肠炎
大便墨绿色	绿便
干硬	大便干燥
大便困难	便秘
大便会偏干	大便干燥
口腔当中的疱疹	口腔溃疡
呛羊水	呛
病毒性腹泻	腹泻
虚汗	盗汗
肺上的炎症	肺炎
37.2	低热
喉咙疼	咽喉不适
尿有血色	血尿
尿红尿	血尿
尿都是有血	血尿
眼睛，小腿有肿	红肿
尿血	血尿
一天大便几次，稀	稀便
一天啦五六次	腹泻
水样腹泻	腹泻
秋季腹泻	腹泻
啦稀是黄色的	稀便
绿色的大便	绿便
啦屎不成型	稀便
口述发青	口周发青
睡眠增多	嗜睡
喉咙痛	咽喉痛
烧38·5	中等度热
38.5度	中等度热
拉粑粑哪里给她察她说疼	肛门疼痛
拉的不狠就是有点稀	稀便
大便希	稀便
一天十几次	腹泻
小便有减少	尿量减少
大便次数有十多次	腹泻
感染性的腹泻	腹泻
非感染性腹泻	腹泻
电解质失衡	电解质紊乱
大便里面有像鼻涕一样的东西	大便粘液
炎症感染	感染
不太好	精神软
吵闹	哭闹
小便也明显减少了	尿量减少
感染性	感染
拉出来的鼻涕	大便粘液
不明显的血丝	血便
精神就会越来越差	精神软
拉大便	便秘
身上好热	发热
嗓子疼	疼痛
嗓子红疼	咽部不适
尿量不是很多	尿量减少
超过8小时没尿的话	尿量减少
流黄色的浓鼻涕	鼻流涕
黄色脓鼻涕	鼻流涕
风热型感冒	感冒
晾汗	出汗
钙的，缺乏	缺钙
发烧老在38度多	中等度热
大便拉都是水	水样便
发烧三十八度以上	中等度热
拉屎绿色	绿便
痰量增多	痰
嘴里吐泡泡	口吐白沫
嘴边上囗水有泡泡	口吐白沫
嘴边泡泡	口吐白沫
拉的浠水	水样便
拉稀水	水样便
异物吸入	气管支气管异物
呼吸道感染的部位在上呼吸道	上呼吸道感染
饮食不佳	食欲不振
地热	低热
西便带泡沫	稀便
肠道病毒感染	病毒感染
38.4度	中等度热
小儿急疹	幼儿急疹
睡觉不像平时那么安稳	睡眠障碍
体温又高	发热
消化功能弱	消化不良
大便里有血	血便
血	血便
喉咙就疼	咽喉痛
嗓子里有炎症	咽喉炎
不吃东西	食欲不振
发烧39度	发热
咽炎	咽喉炎
过敏性因素引起的咳嗽	过敏性咳嗽
一天拉6到7次	腹泻
拍肚子有鼓音	腹胀
睡眠很浅	睡眠障碍
肚子很胀	腹胀
肚子就是很鼓	腹胀
气管儿炎	支气管炎
小便不多	尿量减少
小便少	尿量减少
38℃	低热
手心和脚心特别烫	发热
体温38以下	低热
超过38.5以上	中等度热
手脚一般凉	四肢厥冷
睡不了觉	睡眠障碍
喘气	气喘
肚子也不胀，捏着软	腹胀
一两个星期没有大便	便秘
不能吃	食欲不振
长时间不拉大便	便秘
不拉	便秘
拉丝状	大便粘液
粘液多	大便粘液
胃肠道功能低下	胃肠功能紊乱
消化液分泌减少	消化不良
乳腺炎发炎	乳腺炎
比之前减少很多	食欲不振
精神食欲差	精神软
大便，感觉有粘液	大便粘液
绿色粘液便	绿便
吃饱了就拉	消化不良
肚子还有点胀	腹胀
肚子有点胀	腹胀
大便里的粘液	大便粘液
小儿肠炎	肠炎
没劲	乏力
拉了几天肚子	腹泻
感昌	感冒
孩子没精神	精神软
上午就拉了三次	腹泻
身上有红点	过敏性皮疹
拉血	血便
不睡觉	睡眠障碍
38度	低热
轮状病毒性肠炎	病毒性肠炎
便血	血便
尿比较多	尿量增多
萎靡	精神软
皮肤弹性也不好	皮肤弹性差
大便糊状	糊状便
38.5以上	中等度热
嗓子有点点红	咽喉炎
感染细菌或许病毒	感染
拉了两遍	腹泻
拉的	腹泻
挑食偏食	食欲不振
大便带粘液	大便粘液
炎正	炎症
拉泡沫	泡沫便
七八次	腹泻
以前是糊状的，最后一点稀	稀便
明显的增多并且有水一样的大便	腹泻
拉的屎是这样的，最后一点是稀	稀便
额温38.8	中等度热
蔫巴	精神软
39.4	高热
39.8	高热
最高应该在38.5℃	中等度热
38.5的体温	发热
烧到38.5以上	中等度热
小手小脚，凉	四肢厥冷
大便都有泡泡	泡沫便
乳糖吸收不好	乳糖不耐受
便便还没成形	糊状便
好几天大便一次	便秘
泡泡很多	泡沫便
大便次数很多	腹泻
大便不消化	消化不良
泡沫很多	泡沫便
乳糖不难受	乳糖不耐受
38.8	中等度热
拉的稀水	水样便
今天一天都没尿	尿量减少
第二次大便多，都是稀水	水样便
小便量太少	尿量减少
鸡蛋花	蛋花汤样便
小便比原来多	尿量增多
精神状况不如原来好	精神软
喘鸣音	喘息
憋喘	喘息
弊咳	喘憋
吃奶比之前少点	食欲不振
嗓子就咕噜咕噜的	痰鸣音
嗓子咕噜咕噜	痰鸣音
嗓子红肿	咽喉炎
不让躺着睡	睡眠障碍
蚕豆	蚕豆病
好几天都没拉大便	便秘
好几天不拉大便	便秘
有少量的泡沫	泡沫便
大便很稠	粥样便
大便还有一股酸臭味	大便酸臭
精神要差点	精神软
痰咳	咳痰
喉咙之前痒	咽喉不适
爆发性心肌炎	心肌炎
疼	疼痛
大便次数增多，稀，臭	腹泻
宝贝尿量少	尿量减少
喘音	喘息
水样便	腹泻
粥样便	腹泻
前面两天一天五六次	腹泻
缺铁性贫血	贫血
轻度感染	感染
厌食	食欲不振
水样大便	水样便
大便含有脓血	脓血便
流鼻水	鼻流涕
上呼吸道感染感染	上呼吸道感染
抗过敏	过敏
手指破	皮肤不完整
尿了很多	尿量增多
尿的多	尿量增多
生理性腹泻	腹泻
大便黄稀	稀便
次数多	腹泻
可有奶瓣及脂肪颗粒	稀便
肠道菌群失调	胃肠功能紊乱
三十八度以上	发热
三十七度五以上	低热
气管有问题	气管炎
病毒和细菌	病毒感染
炎性改变	炎症
喉咙肿得较大	咽喉炎
轻微咳嗽	咳嗽
小疙瘩	皮疹
过敏	过敏体质
大便好像是墨绿色	绿便
大便发黑发绿	黑便
大便有脓血	脓血便
大便比较臭	大便酸臭
肚子咕噜咕噜响	肠鸣音
大便这么绿	绿便
呼吸不怎么好	呼吸困难
口唇发紫	口唇发绀
